TRAB_RENDA_BRUTA,TRAB_AREA,TRAB_OCUPACAO,CAMPUS,CURSO,ANO_CONCLUSAO,Sheet,MODALIDADE,NOME_DATAFRAME
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Caicó,Técnico em Eletrotécnica,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Nova Cruz,Técnico em Administração,2014,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Nova Cruz,Técnico em Informática,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Central,Técnico em Controle Ambiental,2016,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Educação à Distância (EaD),Especialização em Literatura e Ensino,2016,PAE2018-2019_selected_data_renamed.xlsx,Especialização,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(1) Trabalham,Ipanguaçu,Licenciatura em Química,2014,PAE2018-2019_selected_data_renamed.xlsx,Licenciatura,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Caicó,Técnico em Eletrotécnica,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Ipanguaçu,Técnico em Informática,2014,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Natal - Central,Técnico em Petróleo e Gás,2016,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Macau,Técnico em Química,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Natal - Cidade Alta,Tecnologia em Gestão Desportiva e de Lazer,2016,PAE2018-2019_selected_data_renamed.xlsx,Tecnologia,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Nova Cruz,Técnico em Administração,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Nova Cruz,Técnico em Administração,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Natal - Cidade Alta,Tecnologia em Produção Cultural,2015,PAE2018-2019_selected_data_renamed.xlsx,Tecnologia,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,João Câmara,Técnico em Informática,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Mossoró,Técnico em Informática,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Mossoró,Técnico em Mecânica,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Educação à Distância (EaD),Licenciatura em Espanhol,2016,PAE2018-2019_selected_data_renamed.xlsx,Licenciatura,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,São Gonçalo do Amarante,Técnico em Informática,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Mossoró,Técnico em Informática,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Caicó,Técnico em Eletrotécnica,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Mossoró,Técnico em Eletrotécnica,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Natal - Central,Técnico em Controle Ambiental,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Macau,Licenciatura em Biologia,2018,PAE2018-2019_selected_data_renamed.xlsx,Licenciatura,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Educação à Distância (EaD),Especialização em Gestão Pública,2018,PAE2018-2019_selected_data_renamed.xlsx,Especialização,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Santa Cruz,Técnico em Informática,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Macau,Técnico em Recursos Pesqueiros,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Ipanguaçu,Técnico em Informática,2013,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Natal - Central,Tecnologia em Gestão Ambiental,2018,PAE2018-2019_selected_data_renamed.xlsx,Tecnologia,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,São Paulo do Potengi,Técnico em Edificações,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Zona Norte,Técnico em Eletrônica,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Caicó,Técnico em Informática,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Educação à Distância (EaD),Técnico em Guia de Turismo,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Mossoró,Técnico em Informática,2016,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(1) Trabalham,Santa Cruz,Técnico em Refrigeração e Climatização,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Santa Cruz,Técnico em Informática,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(1) Trabalham,Mossoró,Especialização em Educação e Contemporaneidade,,PAE2018-2019_selected_data_renamed.xlsx,Especialização,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Currais Novos,Técnico em Informática,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Macau,Técnico em Recursos Pesqueiros,2016,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Pau dos Ferros,Técnico em Informática,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Central,Técnico em Segurança do Trabalho,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Nova Cruz,Técnico em Administração,2014,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Mossoró,Técnico em Informática,2016,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Educação à Distância (EaD),Técnico em Secretaria Escolar,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(1) Trabalham,Natal - Central,Técnico em Mecânica,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Nova Cruz,Técnico em Informática,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Mossoró,Técnico em Edificações,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Mossoró,Técnico em Mecânica,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Central,Técnico em Edificações,2016,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Central,Técnico em Edificações,2014,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Ipanguaçu,Técnico em Agroecologia,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Natal - Central,Licenciatura em Espanhol,2013,PAE2018-2019_selected_data_renamed.xlsx,Licenciatura,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Natal - Cidade Alta,Técnico em Guia de Turismo,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Educação à Distância (EaD),Especialização em Ensino da Língua Portuguesa e Matemática em uma Perspectiva Transdisciplinar,2016,PAE2018-2019_selected_data_renamed.xlsx,Especialização,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Mossoró,Técnico em Edificações,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Central,Técnico em Estradas,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Nova Cruz,Técnico em Informática,2014,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Caicó,Licenciatura em Física,2017,PAE2018-2019_selected_data_renamed.xlsx,Licenciatura,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(1) Trabalham,Educação à Distância (EaD),Técnico em Secretaria Escolar,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Educação à Distância (EaD),Técnico em Guia de Turismo,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Educação à Distância (EaD),Técnico em Secretaria Escolar,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Pau dos Ferros,Licenciatura em Química,2017,PAE2018-2019_selected_data_renamed.xlsx,Licenciatura,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Natal - Central,Técnico em Segurança do Trabalho,,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Ceará-Mirim,Técnico em Manutenção e Suporte em Informática,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Macau,Técnico em Química,2016,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
